paper_id,title,authors,text,metadata
cd92f91038067e7a10aa27d676ce696e1e4d67ce,EXPERIMENTAL AND THERAPEUTIC MEDICINE Dimethyloxaloylglycine increases bone repair capacity of adipose-derived stem cells in the treatment of osteonecrosis of the femoral head,"Zhen-Hong Zhu, Wen-Qi Song, Chang-Qing Zhang, Ji-Min Yin","Introduction Osteonecrosis of the femoral head (ONFH) is a pathological process primarily caused by interrupted local blood circulation, which can cause apoptosis of osteocytes and osseous tissue necrosis (1, 2) . The lack of effective therapy for ONFH is a difficulty that needs to be overcome in clinical practice. Several","{""paper_id"": ""cd92f91038067e7a10aa27d676ce696e1e4d67ce"", ""title"": ""EXPERIMENTAL AND THERAPEUTIC MEDICINE Dimethyloxaloylglycine increases bone repair capacity of adipose-derived stem cells in the treatment of osteonecrosis of the femoral head"", ""authors"": ""Zhen-Hong Zhu, Wen-Qi Song, Chang-Qing Zhang, Ji-Min Yin""}"
bab279da548d8bd363acd5033e9dc54e7dbb7107,Effects of school breaks on influenza- like illness incidence in a temperate Chinese region: an ecological study from 2008 to 2015,"Yanhui Chu, Zhenyu Wu, Jiayi Ji, Jingyi Sun, Xiaoyu Sun, Guoyou Qin, Jingning Qin, Zheng Xiao, Jian Ren, Di Qin, Xueying Zheng, Xi-Ling Wang","INTRODUCTION Schoolchildren play a major role in the spread of influenza considering their high clinical attack rates, high social contact rates and increased viral shedding compared with adults. 1 Reactive school closure at the initial phase of a pandemic is considered as an effective non-pharmaceutical intervention to mitigate the spread","{""paper_id"": ""bab279da548d8bd363acd5033e9dc54e7dbb7107"", ""title"": ""Effects of school breaks on influenza- like illness incidence in a temperate Chinese region: an ecological study from 2008 to 2015"", ""authors"": ""Yanhui Chu, Zhenyu Wu, Jiayi Ji, Jingyi Sun, Xiaoyu Sun, Guoyou Qin, Jingning Qin, Zheng Xiao, Jian Ren, Di Qin, Xueying Zheng, Xi-Ling Wang""}"
71edbd57cdd9af956a12054932e0cbdb87ce1fea,Social Network Characteristics and Body Mass Index in an Elderly Korean Population,"Won Joon Lee, Yoosik Youm, Yumie Rhee, Yeong-Ran Park, Sang Hui Chu, Chang Kim","INTRODUCTION The study of the effects of social networks on health rose to the surface in the 1970s through pioneers such as Cassel, Cobb, pISSN 1975 -8375 eISSN 2233 and Berkman, who theorized or proved empirically that social networks could affect mortality [1] [2] [3] [4] [5] [6] . After","{""paper_id"": ""71edbd57cdd9af956a12054932e0cbdb87ce1fea"", ""title"": ""Social Network Characteristics and Body Mass Index in an Elderly Korean Population"", ""authors"": ""Won Joon Lee, Yoosik Youm, Yumie Rhee, Yeong-Ran Park, Sang Hui Chu, Chang Kim""}"
2dfdbf2d6b77426866feaf93486327d372fd27c7,CLINICAL EXPERIMENTAL VACCINE RESEARCH,,"There may be many reasons for the significant decrease in the incidence of the pediatric infectious diseases in modern Korea; this could be due to the improvement of sanitary facilities, significant growth of Korean economy, improvement of nutrition, development and dissemination of antibiotics and implantation of vaccination, and overall improvement","{""paper_id"": ""2dfdbf2d6b77426866feaf93486327d372fd27c7"", ""title"": ""CLINICAL EXPERIMENTAL VACCINE RESEARCH"", ""authors"": ""nan""}"
0afa3ea846396533c7ca515968abcfea3f895082,Bone Marrow Dendritic Cells from Mice with an Altered Microbiota Provide Interleukin 17A-Dependent Protection against Entamoeba histolytica Colitis,"Stacey L Burgess, Erica Buonomo, Maureen Carey, Carrie Cowardin, Caitlin Naylor, Zannatun Noor, Marsha Wills-Karp, William A Petri, Burgess Sl, Buonomo E , Carey M Cowardin, C , Naylor C , Noor Z Wills-Karp M,  Petri",port neutrophil infiltration in inflammatory-disease models (10) (11) (12) (13) . Neutrophils play a central role in cell-mediated clearance of parasites and may be important in clearance of E. histolytica (14) . IgA was also implicated in protection against E. histolytica infection in a childhood cohort and thus may be,"{""paper_id"": ""0afa3ea846396533c7ca515968abcfea3f895082"", ""title"": ""Bone Marrow Dendritic Cells from Mice with an Altered Microbiota Provide Interleukin 17A-Dependent Protection against Entamoeba histolytica Colitis"", ""authors"": ""Stacey L Burgess, Erica Buonomo, Maureen Carey, Carrie Cowardin, Caitlin Naylor, Zannatun Noor, Marsha Wills-Karp, William A Petri, Burgess Sl, Buonomo E , Carey M Cowardin, C , Naylor C , Noor Z Wills-Karp M,  Petri""}"
13531a593bf382e8e4f605622db4f7f2c6ef92a9,Materials and Methods,,"Construction of gene knockout cells. The A549 RNase L KO, MAVS KO, ADAR1-MAVS DKO, ADAR1-RNase L DKO, and ADAR1-RNase L-MAVS TKO cells were described previously (1) . The PDE12 KO, AKAP7 KO, PDE12-AKAP7 DKO A549 cells were generated by using the CRISPR Cas9 system. The sgRNA sequences were chosen from","{""paper_id"": ""13531a593bf382e8e4f605622db4f7f2c6ef92a9"", ""title"": ""Materials and Methods"", ""authors"": ""nan""}"
97b7ac41d4b2537b9b38666adc27439a808234a5,FULL PAPER Virology Development of a one-run real-time PCR detection system for pathogens associated with bovine respiratory disease complex,"Mai Kishimoto, Shinobu Tsuchiaka, Samim Sayed,  Rahpaya, Ayako Hasebe, Keiko Otsu, Satoshi Sugimura, Suguru Kobayashi, Natsumi Komatsu, Makoto Nagai, Tsutomu Omatsu, Yuki Naoi, Kaori Sano, Sachiko Okazaki-Terashima, Mami Oba, Yukie Katayama, Reiichiro Sato, Tetsuo Asai, Tetsuya Mizutani","BRDC, include bovine viral diarrhea virus (BVDV), bovine coronavirus (BCoV), bovine parainfluenza virus 3 (BPIV-3), bovine respiratory syncytial virus (BRSV), bovine herpesvirus 1 (BHV-1), and bovine adenovirus 3 (BAdV 3) and 7 (BAdV 7) [12, 28] . In addition, a metagenomic approach to BRDC in cattle recently revealed that several","{""paper_id"": ""97b7ac41d4b2537b9b38666adc27439a808234a5"", ""title"": ""FULL PAPER Virology Development of a one-run real-time PCR detection system for pathogens associated with bovine respiratory disease complex"", ""authors"": ""Mai Kishimoto, Shinobu Tsuchiaka, Samim Sayed,  Rahpaya, Ayako Hasebe, Keiko Otsu, Satoshi Sugimura, Suguru Kobayashi, Natsumi Komatsu, Makoto Nagai, Tsutomu Omatsu, Yuki Naoi, Kaori Sano, Sachiko Okazaki-Terashima, Mami Oba, Yukie Katayama, Reiichiro Sato, Tetsuo Asai, Tetsuya Mizutani""}"
a633596dc4ee28692afaa88122c65b997d1e4d1f,Potential and challenges of tannins as an alternative to in-feed antibiotics for farm animal production-NC-ND license (http://creativecommons.org/licenses/by-nc-nd/4.0/),"Qianqian Huang, Xiuli Liu, Guoqi Zhao, Tianming Hu, Yuxi Wang","Introduction Antibiotics for growth promotion in farm animal production have been used for several decades and proved to be effective in increasing animal and poultry production efficiency. However, it is widely believed that use of antibiotics as growth promoters promotes evolution and/or selection of antibiotic-resistant microorganisms in farm animals (Chattopadhyay,","{""paper_id"": ""a633596dc4ee28692afaa88122c65b997d1e4d1f"", ""title"": ""Potential and challenges of tannins as an alternative to in-feed antibiotics for farm animal production-NC-ND license (http://creativecommons.org/licenses/by-nc-nd/4.0/)"", ""authors"": ""Qianqian Huang, Xiuli Liu, Guoqi Zhao, Tianming Hu, Yuxi Wang""}"
e52ecf4b22e9dcb340ccf67f0251b5a3f9373f02,,"Jamal Ahmadzadeh, Kazhal Mobaraki","Introduction Human coronaviruses (hCoV) usually causes mild-to-moderate upper respiratory tract illnesses. 1 One of these hCoV is the Middle East respiratory syndrome (MERS) which is a viral respiratory disease caused by a novel coronavirus (Middle East respiratory syndrome coronavirus, or MERS-CoV). MERS-CoV belongs to the genus ""Betacoronavirus"" that is an","{""paper_id"": ""e52ecf4b22e9dcb340ccf67f0251b5a3f9373f02"", ""title"": ""nan"", ""authors"": ""Jamal Ahmadzadeh, Kazhal Mobaraki""}"
0b627ea5840e5e48709565840313984dc900af8d,Macroevolutionary immunology: a role for immunity in the diversification of animal life,"Eric S Loker, Larry J Dishaw, Lynn Martin","INTRODUCTION Recent years have witnessed a dramatic increase in our understanding of the diversity of immune systems across animal phyla (Flajnik and Kasahara, 2010; Messier-Solek et al., 2010; Rast and Litman, 2010; this volume) . Availability of genome sequences from a broad variety of animals coupled with an increased appreciation","{""paper_id"": ""0b627ea5840e5e48709565840313984dc900af8d"", ""title"": ""Macroevolutionary immunology: a role for immunity in the diversification of animal life"", ""authors"": ""Eric S Loker, Larry J Dishaw, Lynn Martin""}"
