product_id,name,description,category,price,brand,rating
P2001,Essential Floor Mats,High-quality floor mats designed for optimal performance and durability. Features advanced technology and user-friendly design. Perfect for everyday use with excellent value for money. Backed by manufacturer warranty and customer satisfaction guarantee.,Automotive,41.24,ReadMore,4.1
P2002,Portable Lawn Mower,High-quality lawn mower designed for optimal performance and durability. Features advanced technology and user-friendly design. Perfect for everyday use with excellent value for money. Backed by manufacturer warranty and customer satisfaction guarantee.,Garden & Outdoor,233.91,EcoWear,4.2
P2003,Ergonomic Lawn Mower,High-quality lawn mower designed for optimal performance and durability. Features advanced technology and user-friendly design. Perfect for everyday use with excellent value for money. Backed by manufacturer warranty and customer satisfaction guarantee.,Garden & Outdoor,289.51,HomeStyle,3.5
P2004,Premium Energy Bars,High-quality energy bars designed for optimal performance and durability. Features advanced technology and user-friendly design. Perfect for everyday use with excellent value for money. Backed by manufacturer warranty and customer satisfaction guarantee.,Food & Beverage,253.25,PlayFun,4.2
P2005,Deluxe Chair,High-quality chair designed for optimal performance and durability. Features advanced technology and user-friendly design. Perfect for everyday use with excellent value for money. Backed by manufacturer warranty and customer satisfaction guarantee.,Office Products,60.35,PetLove,4.7
P2006,Modern Dress,High-quality dress designed for optimal performance and durability. Features advanced technology and user-friendly design. Perfect for everyday use with excellent value for money. Backed by manufacturer warranty and customer satisfaction guarantee.,Clothing,265.59,OfficeMax,4.1
P2007,Wireless Toy Set,High-quality toy set designed for optimal performance and durability. Features advanced technology and user-friendly design. Perfect for everyday use with excellent value for money. Backed by manufacturer warranty and customer satisfaction guarantee.,Pet Supplies,125.37,PureGlow,4.0
P2008,Compact Face Wash,High-quality face wash designed for optimal performance and durability. Features advanced technology and user-friendly design. Perfect for everyday use with excellent value for money. Backed by manufacturer warranty and customer satisfaction guarantee.,Beauty & Personal Care,129.69,HomeStyle,4.6
P2009,Durable Snack Box,High-quality snack box designed for optimal performance and durability. Features advanced technology and user-friendly design. Perfect for everyday use with excellent value for money. Backed by manufacturer warranty and customer satisfaction guarantee.,Food & Beverage,168.85,TastyBites,4.0
P2010,Durable Protein Powder,High-quality protein powder designed for optimal performance and durability. Features advanced technology and user-friendly design. Perfect for everyday use with excellent value for money. Backed by manufacturer warranty and customer satisfaction guarantee.,Food & Beverage,68.25,FitLife,4.4
P2011,Portable Shampoo,High-quality shampoo designed for optimal performance and durability. Features advanced technology and user-friendly design. Perfect for everyday use with excellent value for money. Backed by manufacturer warranty and customer satisfaction guarantee.,Beauty & Personal Care,48.46,GreenGrow,4.6
P2012,Durable Dish Set,High-quality dish set designed for optimal performance and durability. Features advanced technology and user-friendly design. Perfect for everyday use with excellent value for money. Backed by manufacturer warranty and customer satisfaction guarantee.,Home & Kitchen,194.68,TastyBites,4.6
P2013,Durable Biography,High-quality biography designed for optimal performance and durability. Features advanced technology and user-friendly design. Perfect for everyday use with excellent value for money. Backed by manufacturer warranty and customer satisfaction guarantee.,Books,175.48,PetLove,4.5
P2014,Portable Card Game,High-quality card game designed for optimal performance and durability. Features advanced technology and user-friendly design. Perfect for everyday use with excellent value for money. Backed by manufacturer warranty and customer satisfaction guarantee.,Toys & Games,92.91,OfficeMax,4.8
P2015,Durable Speaker,High-quality speaker designed for optimal performance and durability. Features advanced technology and user-friendly design. Perfect for everyday use with excellent value for money. Backed by manufacturer warranty and customer satisfaction guarantee.,Electronics,120.44,TechPro,3.6
P2016,Essential Webcam,High-quality webcam designed for optimal performance and durability. Features advanced technology and user-friendly design. Perfect for everyday use with excellent value for money. Backed by manufacturer warranty and customer satisfaction guarantee.,Electronics,295.21,HomeStyle,4.5
P2017,Premium Storage Container,High-quality storage container designed for optimal performance and durability. Features advanced technology and user-friendly design. Perfect for everyday use with excellent value for money. Backed by manufacturer warranty and customer satisfaction guarantee.,Home & Kitchen,69.15,PureGlow,4.3
P2018,Compact Fiction Novel,High-quality fiction novel designed for optimal performance and durability. Features advanced technology and user-friendly design. Perfect for everyday use with excellent value for money. Backed by manufacturer warranty and customer satisfaction guarantee.,Books,261.72,PetLove,4.6
P2019,Wireless Foam Roller,High-quality foam roller designed for optimal performance and durability. Features advanced technology and user-friendly design. Perfect for everyday use with excellent value for money. Backed by manufacturer warranty and customer satisfaction guarantee.,Sports & Fitness,122.77,OfficeMax,4.3
P2020,Advanced Protein Powder,High-quality protein powder designed for optimal performance and durability. Features advanced technology and user-friendly design. Perfect for everyday use with excellent value for money. Backed by manufacturer warranty and customer satisfaction guarantee.,Food & Beverage,23.61,GreenGrow,4.1
P2021,Portable Action Figure,High-quality action figure designed for optimal performance and durability. Features advanced technology and user-friendly design. Perfect for everyday use with excellent value for money. Backed by manufacturer warranty and customer satisfaction guarantee.,Toys & Games,25.59,OfficeMax,4.6
P2022,Ergonomic Exercise Ball,High-quality exercise ball designed for optimal performance and durability. Features advanced technology and user-friendly design. Perfect for everyday use with excellent value for money. Backed by manufacturer warranty and customer satisfaction guarantee.,Sports & Fitness,274.32,FitLife,4.6
P2023,Classic Lawn Mower,High-quality lawn mower designed for optimal performance and durability. Features advanced technology and user-friendly design. Perfect for everyday use with excellent value for money. Backed by manufacturer warranty and customer satisfaction guarantee.,Garden & Outdoor,224.14,OfficeMax,3.8
P2024,Essential Snack Box,High-quality snack box designed for optimal performance and durability. Features advanced technology and user-friendly design. Perfect for everyday use with excellent value for money. Backed by manufacturer warranty and customer satisfaction guarantee.,Food & Beverage,61.44,AutoCare,4.5
P2025,Deluxe Storage Container,High-quality storage container designed for optimal performance and durability. Features advanced technology and user-friendly design. Perfect for everyday use with excellent value for money. Backed by manufacturer warranty and customer satisfaction guarantee.,Home & Kitchen,44.6,OfficeMax,3.6
P2026,Durable Shampoo,High-quality shampoo designed for optimal performance and durability. Features advanced technology and user-friendly design. Perfect for everyday use with excellent value for money. Backed by manufacturer warranty and customer satisfaction guarantee.,Beauty & Personal Care,56.66,HomeStyle,4.8
P2027,Classic Charger,High-quality charger designed for optimal performance and durability. Features advanced technology and user-friendly design. Perfect for everyday use with excellent value for money. Backed by manufacturer warranty and customer satisfaction guarantee.,Electronics,281.86,TastyBites,3.6
P2028,Ergonomic Fiction Novel,High-quality fiction novel designed for optimal performance and durability. Features advanced technology and user-friendly design. Perfect for everyday use with excellent value for money. Backed by manufacturer warranty and customer satisfaction guarantee.,Books,188.52,GreenGrow,4.5
P2029,Ergonomic Cleaning Kit,High-quality cleaning kit designed for optimal performance and durability. Features advanced technology and user-friendly design. Perfect for everyday use with excellent value for money. Backed by manufacturer warranty and customer satisfaction guarantee.,Automotive,31.13,ReadMore,4.6
P2030,Essential Notebook,High-quality notebook designed for optimal performance and durability. Features advanced technology and user-friendly design. Perfect for everyday use with excellent value for money. Backed by manufacturer warranty and customer satisfaction guarantee.,Office Products,29.76,OfficeMax,4.3
P2031,Durable Educational Toy,High-quality educational toy designed for optimal performance and durability. Features advanced technology and user-friendly design. Perfect for everyday use with excellent value for money. Backed by manufacturer warranty and customer satisfaction guarantee.,Toys & Games,36.65,PlayFun,3.8
P2032,Portable Resistance Bands,High-quality resistance bands designed for optimal performance and durability. Features advanced technology and user-friendly design. Perfect for everyday use with excellent value for money. Backed by manufacturer warranty and customer satisfaction guarantee.,Sports & Fitness,114.62,ReadMore,3.8
P2033,Durable Collar,High-quality collar designed for optimal performance and durability. Features advanced technology and user-friendly design. Perfect for everyday use with excellent value for money. Backed by manufacturer warranty and customer satisfaction guarantee.,Pet Supplies,248.86,OfficeMax,5.0
P2034,Professional Monitor,High-quality monitor designed for optimal performance and durability. Features advanced technology and user-friendly design. Perfect for everyday use with excellent value for money. Backed by manufacturer warranty and customer satisfaction guarantee.,Electronics,79.69,AutoCare,4.5
P2035,Essential Pet Food,High-quality pet food designed for optimal performance and durability. Features advanced technology and user-friendly design. Perfect for everyday use with excellent value for money. Backed by manufacturer warranty and customer satisfaction guarantee.,Pet Supplies,266.83,GreenGrow,4.1
P2036,Modern Shoes,High-quality shoes designed for optimal performance and durability. Features advanced technology and user-friendly design. Perfect for everyday use with excellent value for money. Backed by manufacturer warranty and customer satisfaction guarantee.,Clothing,219.94,OfficeMax,3.5
P2037,Classic Desk Lamp,High-quality desk lamp designed for optimal performance and durability. Features advanced technology and user-friendly design. Perfect for everyday use with excellent value for money. Backed by manufacturer warranty and customer satisfaction guarantee.,Office Products,139.2,OfficeMax,3.6
P2038,Essential Outdoor Furniture,High-quality outdoor furniture designed for optimal performance and durability. Features advanced technology and user-friendly design. Perfect for everyday use with excellent value for money. Backed by manufacturer warranty and customer satisfaction guarantee.,Garden & Outdoor,33.87,OfficeMax,3.6
P2039,Durable Desk Organizer,High-quality desk organizer designed for optimal performance and durability. Features advanced technology and user-friendly design. Perfect for everyday use with excellent value for money. Backed by manufacturer warranty and customer satisfaction guarantee.,Office Products,28.98,GreenGrow,4.5
P2040,Portable Exercise Ball,High-quality exercise ball designed for optimal performance and durability. Features advanced technology and user-friendly design. Perfect for everyday use with excellent value for money. Backed by manufacturer warranty and customer satisfaction guarantee.,Sports & Fitness,69.61,EcoWear,4.7
P2041,Modern Protein Powder,High-quality protein powder designed for optimal performance and durability. Features advanced technology and user-friendly design. Perfect for everyday use with excellent value for money. Backed by manufacturer warranty and customer satisfaction guarantee.,Food & Beverage,226.59,EcoWear,3.7
P2042,Wireless Dash Cam,High-quality dash cam designed for optimal performance and durability. Features advanced technology and user-friendly design. Perfect for everyday use with excellent value for money. Backed by manufacturer warranty and customer satisfaction guarantee.,Automotive,35.37,TechPro,3.6
P2043,Durable Moisturizer,High-quality moisturizer designed for optimal performance and durability. Features advanced technology and user-friendly design. Perfect for everyday use with excellent value for money. Backed by manufacturer warranty and customer satisfaction guarantee.,Beauty & Personal Care,248.26,PetLove,4.9
P2044,Modern Building Blocks,High-quality building blocks designed for optimal performance and durability. Features advanced technology and user-friendly design. Perfect for everyday use with excellent value for money. Backed by manufacturer warranty and customer satisfaction guarantee.,Toys & Games,127.28,GreenGrow,4.0
P2045,Portable Board Game,High-quality board game designed for optimal performance and durability. Features advanced technology and user-friendly design. Perfect for everyday use with excellent value for money. Backed by manufacturer warranty and customer satisfaction guarantee.,Toys & Games,11.7,OfficeMax,4.6
P2046,Wireless T-Shirt,High-quality t-shirt designed for optimal performance and durability. Features advanced technology and user-friendly design. Perfect for everyday use with excellent value for money. Backed by manufacturer warranty and customer satisfaction guarantee.,Clothing,255.98,TastyBites,4.0
P2047,Professional Pen Set,High-quality pen set designed for optimal performance and durability. Features advanced technology and user-friendly design. Perfect for everyday use with excellent value for money. Backed by manufacturer warranty and customer satisfaction guarantee.,Office Products,97.38,GreenGrow,3.6
P2048,Modern Jump Starter,High-quality jump starter designed for optimal performance and durability. Features advanced technology and user-friendly design. Perfect for everyday use with excellent value for money. Backed by manufacturer warranty and customer satisfaction guarantee.,Automotive,18.93,GreenGrow,3.7
P2049,Deluxe Foam Roller,High-quality foam roller designed for optimal performance and durability. Features advanced technology and user-friendly design. Perfect for everyday use with excellent value for money. Backed by manufacturer warranty and customer satisfaction guarantee.,Sports & Fitness,241.05,PlayFun,4.8
P2050,Portable Face Wash,High-quality face wash designed for optimal performance and durability. Features advanced technology and user-friendly design. Perfect for everyday use with excellent value for money. Backed by manufacturer warranty and customer satisfaction guarantee.,Beauty & Personal Care,206.4,PureGlow,4.9
P2051,Portable Snack Box,High-quality snack box designed for optimal performance and durability. Features advanced technology and user-friendly design. Perfect for everyday use with excellent value for money. Backed by manufacturer warranty and customer satisfaction guarantee.,Food & Beverage,170.51,TechPro,4.3
P2052,Premium T-Shirt,High-quality t-shirt designed for optimal performance and durability. Features advanced technology and user-friendly design. Perfect for everyday use with excellent value for money. Backed by manufacturer warranty and customer satisfaction guarantee.,Clothing,183.02,PetLove,4.3
